name,description,image_url,location
"Muffin","Muffins are small, cake-like breads. They come in sweet and savory varieties.","http://healthbeginswithmom.com/wp-content/uploads/2015/12/vanilla-muffins.jpg","pantry"
"Pancake","Pancakes are flat cakes made from batter. They are cooked on a griddle and served with syrup.","https://i.pinimg.com/originals/11/b7/b9/11b7b9bcc12497820ab82434b04e20a1.jpg","freezer"
"Waffle","Waffles are leavened batter cooked between plates. They have a characteristic grid pattern.","https://www.allthingsmamma.com/wp-content/uploads/2019/07/waffle-recipe-2.jpg","pantry"
"Chocolate","Chocolate is a sweet made from cocoa beans. It's used in desserts and confections.","https://elavegan.com/wp-content/uploads/2023/01/homemade-chocolate-bars-1041x1536.jpg","fridge"
"Cocoa powder","Cocoa powder is made from roasted cocoa beans. It's used in baking and hot beverages.","https://www.nutritionadvance.com/wp-content/uploads/2018/07/Cacao-Powder-101.jpg","fridge"
"Espresso","Espresso is a concentrated coffee brewed by forcing water under pressure through coffee beans.","https://www.siamhillscoffee.com/wp-content/uploads/What-is-an-Espresso-%E2%80%93-A-Complete-Guide-%E2%80%93-1.jpg","pantry"
"Tea leaves","Tea leaves are used to brew tea. They come in varieties like black, green, and oolong.","https://gopaldharaindia.com/wp-content/uploads/2017/04/bigstock-Tea-cup-with-mint-leaves-on-a-36370273-1.jpg","pantry"
"Red wine","Red wine is made from fermented dark-colored grapes. It's used in cooking and as a beverage.","https://www.thespruceeats.com/thmb/_yDhAjE6dns0-D4Q8nx9FCS7GQI=/1553x1931/filters:fill(auto,1)/GettyImages-200157374-001-71e5fecc060c4651838a6308c3ef85e4.jpg","fridge"
"White wine","White wine is made from fermented grape juice. It's used in cooking and as a beverage.","https://www.winemag.com/wp-content/uploads/2019/09/White_Wine_Getty_HERO_1920x1280.jpg","freezer"
"Beer","Beer is an alcoholic beverage made from grains. It's used in cooking and as a beverage.","https://glacier-design.com/wp-content/uploads/2022/10/Beer-Tasting-101-scaled.jpg","pantry"
"Whiskey","Whiskey is a distilled alcoholic beverage made from fermented grain mash.","https://www.gobourbon.com/wp-content/uploads/2019/03/D4D7A300-78D8-4903-8472-29594E792C0F.jpeg","fridge"
"Rum","Rum is a distilled alcoholic beverage made from sugarcane byproducts.","https://www.gurgl.in/wp-content/uploads/2020/07/different-types-rum-bacardi-151-800x1199.jpg","pantry"
"Vodka","Vodka is a clear distilled alcoholic beverage. It's used in cocktails and cooking.","https://nimarkreview.files.wordpress.com/2012/11/absolut_vodka_.jpg","freezer"
"Sun-dried tomatoes","Sun-dried tomatoes are dehydrated tomatoes. They add intense flavor to dishes.","https://www.platingsandpairings.com/wp-content/uploads/2020/08/how-to-make-sun-dried-tomatoes-25-scaled.jpg","fridge"
"Pesto","Pesto is a sauce made from basil, pine nuts, garlic, Parmesan, and olive oil.","https://cdn.apartmenttherapy.info/image/fetch/f_auto,q_auto:eco,c_fill,g_auto,w_1500/https://storage.googleapis.com/gen-atmedia/3/2012/08/c65160f401ee2479c096c7217a612b8391632d08.jpeg","pantry"
"Hummus","Hummus is a Middle Eastern dip made from chickpeas, tahini, lemon, and garlic.","https://cdn.loveandlemons.com/wp-content/uploads/2019/09/hummus.jpg","freezer"
"Tahini","Tahini is a paste made from ground sesame seeds. It's used in sauces and dips.","https://www.servedfromscratch.com/wp-content/uploads/2015/05/IMG_1910.jpg","fridge"
"Edamame","Edamame are young soybeans steamed or boiled. They are eaten as a snack or in salads.","https://www.thespruceeats.com/thmb/8_hpm47p1TeDICKzjn-1pcGi4zE=/1869x1310/filters:fill(auto,1)/1-mixa-edamame-56a9bf613df78cf772aa2ced.jpg","fridge"
"Miso","Miso is a Japanese seasoning made from fermented soybeans. It's used in soups and sauces.","http://questionjapan.com/wp-content/uploads/2020/02/Miso-5.jpg","freezer"
"Tempeh","Tempeh is a fermented soy product. It's a protein-rich meat substitute.","https://cdn.britannica.com/73/236073-050-C94BF7FF/block-of-tempeh-and-tempeh-slices-on-a-wooden-board.jpg","pantry"
"Nori","Nori is dried seaweed used in sushi. It adds a salty, oceanic flavor.","https://www.finedininglovers.com/sites/g/files/xknfdk626/files/2022-07/nori-seaweed-what-is%C2%A9iStock.jpg","freezer"
"Kimchi","Kimchi is a Korean fermented vegetable dish. It's spicy and rich in probiotics.","https://www.maangchi.com/wp-content/uploads/2014/09/kimchi.jpg","pantry"
"Sauerkraut","Sauerkraut is fermented cabbage. It's used as a condiment and is rich in probiotics.","https://www.thespruceeats.com/thmb/obTTjgWIlbl09ULAaPqyn4Dk3wM=/4494x3000/filters:fill(auto,1)/homemade-german-sauerkraut-1447249-hero-01-177ee24d1a0d41db963bddea8478435f.jpg","pantry"
"Pickles","Pickles are cucumbers preserved in vinegar or brine. They add tangy flavor to dishes.","https://www.tasteofhome.com/wp-content/uploads/2020/08/Gherkin_GettyImages-601841099.jpg?w=1200","pantry"
"Relish","Relish is a condiment made from chopped vegetables. It's used to enhance flavor.","https://fthmb.tqn.com/qRjGs7cjb5fbuj_BxJAjV9aCkpU=/1800x1251/filters:fill(auto,1)/cucumber-relish-sweet-18-56a8beeb5f9b58b7d0f4c1e5.jpg","fridge"
"Barbecue sauce","Barbecue sauce is a tangy-sweet sauce used for grilling. It adds flavor to meats.","https://www.onceuponachef.com/images/2021/06/BBQ-Sauce-scaled.jpg","pantry"
"Hot sauce","Hot sauce is a spicy condiment made from chili peppers. It adds heat to dishes.","https://i2.wp.com/wholefully.com/wp-content/uploads/2019/11/homemade-hot-sauce-bottled.jpg","pantry"
"Horseradish","Horseradish is a root vegetable used as a condiment. It has a sharp, pungent flavor.","https://www.thespruce.com/thmb/Vr5AT5zlKSpV8SwLb8rVKGC5Dqc=/2119x1414/filters:fill(auto,1)/HorseradishPlant-GettyImages-856338992-487324da65f645bdb4a545c1189c13e1.jpg","fridge"
"Wasabi","Wasabi is a Japanese horseradish. It's used as a spicy condiment in sushi.","https://segredosdomundo.r7.com/wp-content/uploads/2020/05/wasabi-o-que-e-origem-cultivo-e-beneficios-para-a-saude.jpeg","fridge"
"Molasses","Molasses is a thick syrup byproduct of sugar refining. It's used in baking and cooking.","https://www.thespruceeats.com/thmb/eB7g60wjWcHOHx0GzGEfnQF4A4o=/5938x3964/filters:fill(auto,1)/high-angle-view-of-molasses-in-bowl-over-white-background-913034028-5abd8b4c3037130037b7a187.jpg","pantry"
"Dates","Dates are sweet fruits from the date palm. They are eaten dried or used in desserts.","https://healthjade.com/wp-content/uploads/2018/05/deglet-noor-dates.jpg","freezer"
"Figs","Figs are sweet fruits with a unique texture. They are eaten fresh or dried.","https://www.thespruceeats.com/thmb/b_CVMspT7iRd0XpngTOSXxfgpF0=/2049x1463/filters:no_upscale():max_bytes(150000):strip_icc()/Calimyrna-Figs-579def763df78c32762c6334.jpg","fridge"
"Prunes","Prunes are dried plums. They are high in fiber and used in cooking and baking.","https://www.gardeningknowhow.com/wp-content/uploads/2022/01/Prunes.jpg","pantry"
"Raisins","Raisins are dried grapes. They are used in baking, cereals, and as snacks.","https://images.slurrp.com/prod/articles/nocjferdrd.webp","fridge"
"Cranberries","Cranberries are tart berries used in sauces and baking. They are high in antioxidants.","https://snaped.fns.usda.gov/sites/default/files/styles/crop_ratio_7_5/public/seasonal-produce/2018-05/cranberries.jpg?itok=wwCIOghV","fridge"
"Pistachios","Pistachios are nuts with a distinctive green color. They are eaten as snacks or used in dishes.","https://www.sunnylandfarms.com/Content/MediaResource/2018/7/Shelled_Pistachios.jpg","freezer"
"Pecans","Pecans are rich, buttery nuts. They are used in baking and as snacks.","https://www.gardeningknowhow.com/wp-content/uploads/2020/02/pecans.jpg","fridge"
"Cashews","Cashews are creamy nuts used in cooking and as snacks. They are rich in healthy fats.","https://blog.nuts.com/wp-content/uploads/2016/06/Cashew-2.jpg","fridge"
"Macadamia nuts","Macadamia nuts are rich nuts with a buttery flavor. They are used in baking and confections.","https://www.thehealthy.com/wp-content/uploads/2020/11/GettyImages-1167770572.jpg","fridge"
"Peanut butter","Peanut butter is a spread made from ground peanuts. It's used in sandwiches and baking.","https://universityhealthnews.com/media/is-peanut-butter-healthy.jpg","fridge"
"Jam","Jam is a spread made from fruit and sugar. It's used on bread and in desserts.","https://i2.wp.com/reluctantentertainer.com/wp-content/uploads/2022/08/jar-strawberry-jam.jpeg","pantry"
"Soy milk","Soy milk is a plant-based milk alternative. It's used in cooking and as a dairy substitute.","https://www.mashed.com/img/uploads/2017/05/soy-milk.jpg","fridge"
"Almond milk","Almond milk is made from ground almonds and water. It's a dairy-free milk alternative.","http://dontwastethecrumbs.com/wp-content/uploads/2013/10/Almond-Milk-1.jpg","fridge"
"Coconut water","Coconut water is the clear liquid inside coconuts. It's hydrating and used in beverages.","http://www.saonaisland.org/wp-content/uploads/2017/03/coconut-water.jpg","freezer"
"Herbal tea","Herbal tea is an infusion of herbs and spices. It's caffeine-free and used for relaxation.","https://www.healthdigezt.com/wp-content/uploads/Tea.jpg","fridge"
"Chai","Chai is a spiced tea beverage from India. It includes spices like cinnamon and cardamom.","https://masalaandchai.com/wp-content/uploads/2021/07/Masala-Chai-Featured-1024x1024.jpg","fridge"
"Matcha powder","Matcha is a finely ground green tea powder. It's used in beverages and baking.","https://www.verywellfit.com/thmb/0MtOv1StEjnbiExLtQJTSTYE3-0=/3341x5047/filters:fill(FFDB5D,1)/Matcha-56abbff23df78cf772b56d1b.jpg","freezer"
"Fish sauce","Fish sauce is a liquid condiment made from fermented fish. It's used in Southeast Asian cooking.","https://madamewong.asia/wp-content/uploads/2019/11/FISH-SAUCE.png","fridge"
"Oyster sauce","Oyster sauce is a thick, savory sauce made from oysters. It's used in Chinese cooking.","https://cdn10.bigcommerce.com/s-60yzq6/products/1633/images/3754/Oyster_Sauce__53901.1422626374.1280.1280.jpg?c=2","fridge"
"Hoisin sauce","Hoisin sauce is a sweet and spicy sauce used in Asian cuisine. It's used as a glaze and dip.","http://www.daringgourmet.com/wp-content/uploads/2016/04/Hoisin-Sauce-7.jpg","pantry"
"Sesame seeds","Sesame seeds are tiny seeds used in cooking and baking. They add a nutty flavor.","https://www.thespruceeats.com/thmb/OBl5GmNV5sPsocGIrs1Yd7oHIgQ=/2400x1800/filters:fill(auto%2C1)/sesameseeds2x-58a4b41c3df78c4758d5c507.jpg","freezer"
"Poppy seeds","Poppy seeds are small seeds used in baking. They add texture and flavor to dishes.","https://images.freeimages.com/images/large-previews/fa7/poppy-seeds-macro-1-1317460.jpg","fridge"
"Flax seeds","Flax seeds are rich in omega-3 fatty acids. They are used in baking and as a nutritional supplement.","https://www.explosion.com/wp-content/uploads/2019/04/flaxseeds.jpg","freezer"
"Chia seeds","Chia seeds are tiny seeds rich in fiber and omega-3s. They are used in puddings and smoothies.","https://naturalcave.com/wp-content/uploads/2017/05/chia-seeds.jpg","fridge"
